Exclude,Subject,Year,ID,ID2,ID3,Syllabus,A,B,C,D,CorePicture,CoreQuestion,Question,Marks,Answer,Solution,Picture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,2,,,DA7,,,,,gm20132,Which graph best shows data with a correlation closest to 0.3?,,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,3,,,FM1,583.2,620.4,669.6,719.6,,"Luke's normal rate of pay is $24.80 per hour. In one week he worked 14 hours at the normal rate, 4 hours at time-and-a-half, and 3\(1 \over 2\) hours at double time. He was also paid a wet weather allowance of $50 for the week.

What was his pay for the week?",,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,4,,,M4,31\(^\circ\),37\(^\circ\),49\(^\circ\),53\(^\circ\),gm20134,"What is the value of \(\theta\), to the nearest degree?",,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,5,,,AM3,\(2T \over W\),\(2TW\),\(8T \over W\),\(8TW\),,Which of the following is \(\frac{12T^2}{3T \times 2W}\)in its simplest form?,,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,6,,,DA3,,,,,gm20136,"A survey was conducted where people were asked which of two brands of smartphones they preferred. The results were:

\(\bullet\) 48$ preferred Brand X
\(\bullet\) 52% preferred Brand Y

A graph displaying the data is to be included in a magazine article. The editor of the magazine wishes to ensure that the graph is not misleading in any way.

Which graph should the editor choose to include in the article?",,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,7,,,PB2,1,2,3,6,gm20137,"In an experiment, a standard six-sided die was rolled 72 times. The results are shown in the table.",Which number on the die was obtained the expected number of times?,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,8,,,DA2,All Year 7 students,All Physics students in Years 11 and 12,20 students chosen at random from each year group,120 students chosen at random from the school roll,,"A high school has 100 students in each year group, Year 7 to Year 12. A survey is to be conducted to determine the average number of text messages sent per month by students at the school.

Which of the following would provide the most representative sample for this survey?",,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,9,,,FM2,$1046.88,$1047.09,$1296.88,$1468.75,,"Lynne invests $1000 for a term of 15 months. Interest is paid at a flat rate of 3.75% per annum.

How much will Lynne's investment be worth at the end of the term?",,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,10,,,"DA5
PB4",0.31,0.4,0.56,0.77,gm201310,Students studying vocational education courses were surveyed about their living arrangements.,"One of these students is selected at random.

What is the probability that this student is male and living with his parent(s)?",1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,11,,,FM1,$4375.00,$4412.50,$4600.00,$4637.50,gm201311,An enterprise agreement has the following annual salary arrangements:,"George's employer pays 6% more than the enterprise agreement. He is on Step 3 and receives an allowance for Leader 2.

What is George's gross monthly pay?",1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,12,,,M5,513 cm\(^3\),999 cm\(^3\),1242 cm\(^3\),1539 cm\(^3\),gm201312,A square pyramid fits exactly on top of a cube to form a solid.,What is the volume of the solid?,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,13,,,FM4,0.0417,0.0455,0.0833,0.0909,,"Polly borrowed $11000. She repaid the loan in full at the end of two years with a lump sum of $12000.

What annual simple interest rate was she charged?",,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,14,,,"DA5
PB4",Both the mean and the median would have changed.,Neither the mean nor the median would have changed.,The mean would have changed and the median would have stayed the same.,The mean would have stayed the same and the median would have changed.,,"The July sale prices for properties in a suburb were: $$\textrm{\$552000, \$595000, \$607000, \$607000, \$682000 and \$685000}$$On 1 August, another property in the same suburb was sold for over one million dollars.

If this property had been sold in July, what effect would it have had on the mean and
median sale prices for July?",,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,15,,,"DA4
DA5",4,4.5,5,5.5,gm201315,The frequency histogram shows the number of goals scored by a football team in each game in a season.,What was the mean number of goals scored per game by this team?,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,16,,,M5,38 cm\(^2\),52 cm\(^2\),61 cm\(^2\),70 cm\(^2\),gm201316,The shaded region shows a quadrant with a rectangle removed.,"What is the area of the shaded region, to the nearest cm\(^2\)?",1,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,17,,,M3,\(y \times \frac{10}{15}\),\(y \times \frac{10}{23}\),\(y \times \frac{15}{10}\),\(y \times \frac{23}{15}\),gm201317,Triangles \(ABC\) and \(DEF\) are similar.,Which expression could be used to find the value of \(x\)?,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,18,,,PB3,\(\frac{1}{6}\),\(\frac{1}{12}\),\(\frac{5}{12}\),\(\frac{5}{36}\),,"Two unbiased dice, each with faces numbered 1, 2, 3, 4, 5 and 6, are rolled.

What is the probability of obtaining a sum of 6?",,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,19,,,M5,25 cm\(^2\),33 cm\(^2\),132 cm\(^2\),143 cm\(^2\),gm201319,A logo is designed using half of an annulus.,"What is the area of the logo, to the nearest cm\(^2\)?",1,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,20,,,DA6,8100,16200,20400,28500,,"There are 60 000 students sitting a state-wide examination. If the results form a normal distribution, how many students would be expected to score a result between 1 and 2 standard deviations above the mean?
You may assume for normally distributed data that:
\(\bullet\) 68% of scores have \(z\)-scores between -1 and 1
\(\bullet\) 95% of scores have \(z\)-scores between -2 and 2
\(\bullet\) 99.7% of scores have \(z\)-scores between -3 and 3",,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,21,,,AM3,\(r = \frac{800 - S}{800}\),\(r = \frac{S - 800}{800}\),\(r = 800 - S\),\(r = S - 800\),,Which equation correctly shows r as the subject of \(S = 800(1 - r)\)?,,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,22,,,AM4,\(A = 10x - x^2\),\(A = 10x - 2x^2\),\(A = 20x - x^2\),\(A = 20x - 2x^2\),gm201322,"Leanne wants to build a rectangular vegetable garden in her backyard. She has 20 metres of fencing and will use a wall as one side of the garden. The plan for her garden is shown, where \(x\) metres is the width of her garden.","Which equation gives the area, \(A\), of the vegetable garden?",1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,23,,,FM5,$4909.08,$4982.72,$5018.16,$5094.55,,"Zina opened an account to save for a new car. Six months after opening the account, she made her first deposit of $1200 and continued depositing $1200 at the end of each six month period. Interest was paid at 3% per annum, compounded half-yearly.

How much was in Zina's account two years after first opening it?",,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,24,,,M6,21\(^\circ\),32\(^\circ\),43\(^\circ\),55\(^\circ\),gm201324,"What is the value of \(\theta\), to the nearest degree?",,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,25,,,M2,360 cm\(^3\),434 cm\(^3\),440 cm\(^3\),576 cm\(^3\),gm201325,A net is made using four rectangles and two trapeziums. It is folded to form a solid.,"What is the volume of the solid, in cm\(^3\)?",1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,26,a,i,M6,,,,,gm201326a,Triangle \(PQR\) is shown.,"Find the size of angle \(Q\), to the nearest degree.",2,110,\begin{eqnarray} \cos{Q} &=& \frac{53^2 + 66^2 - 98^2}{2 \times 53 \times 66} \\ &=& - 0.348 627 787 \\ \angle Q &=& 110.403 407 4 \\ &=& 110^\circ \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MG2,2013,26,b,i,"DA3
DA4",,,,,,"Write down a set of six data values that has a range of 12, a mode of 12 and a 2
minimum value of 12.",,,"12, 12, 12, 15, 18, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,26,c,i,"PB2
PB3",,,,,,The probability that Michael will score more than 100 points in a game of bowling is \(\frac{31}{40}\).,"A commentator states that the probability that Michael will score less than 100 points in a game of bowling is \(9 \over 40\).

Is the commentator correct? Give a reason for your answer.",1,No,"because new P = 7/14
OR
The denominator has changed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MG2,2013,26,c,ii,"PB2
PB3",,,,,,The probability that Michael will score more than 100 points in a game of bowling is \(\frac{31}{40}\).,Michael plays two games of bowling. What is the probability that he scores more than 100 points in the first game and then again in the second game?,1,961/1600,\(\frac{31}{40} \times \frac{31}{40} = \frac{961}{1600} \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,26,d,i,FM1,,,,,gm201326d,A section of Jim's electricity bill is shown.,What is the value of \(A\)?,1,1084.4,\( 560.9 + 523.5 = 1084.4 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,26,d,ii,FM1,,,,,gm201326d,A section of Jim's electricity bill is shown.,How much will Jim save if he uses 154 kWh of energy at the Off-peak rate rather than at the Peak rate?,2,58.78,\( 47.77 \times 154 - 9.6 \times 154 = 5878.18c = \$58.78 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,26,e,i,FM2,,,,,gm201326e,"Kimberley has invested $3500.

Interest is compounded half-yearly at a rate of 2% per half-year.",Use the table to calculate the value of her investment at the end of 4 years.,2,4102,\( 1.172 \times 3500 = \$4102 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,26,f,i,"DA4
DA5",,,,,gm201326f,"Jason travels to work by car on all five days of his working week, leaving home at 7 am each day. He compares his travel times using roads without tolls and roads with tolls over a period of 12 working weeks.

He records his travel times (in minutes) in a back-to-back stem-and-leaf plot.",What is the modal travel time when he uses roads without tolls?,1,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,26,f,ii,"DA4
DA5",,,,,gm201326f,"Jason travels to work by car on all five days of his working week, leaving home at 7 am each day. He compares his travel times using roads without tolls and roads with tolls over a period of 12 working weeks.

He records his travel times (in minutes) in a back-to-back stem-and-leaf plot.",What is the median travel time when he uses roads without tolls?,1,50.5,\( \frac{50 + 51}{2} = 50.5 \textrm{ minutes} \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MG2,2013,26,f,iii,"DA4
DA5",,,,,gm201326f,"Jason travels to work by car on all five days of his working week, leaving home at 7 am each day. He compares his travel times using roads without tolls and roads with tolls over a period of 12 working weeks.

He records his travel times (in minutes) in a back-to-back stem-and-leaf plot.",Describe how the two data sets differ in terms of the spread and skewness of their distributions.,2,"Without tolls data shows no skewness whereas with tolls data is positively skewed.
AND
Without tolls data is clustered in the 40s and 50s and with tolls data is more spread out.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,27,a,i,AM2,,,,,gm201327a,Lucy went for a bike ride. She left home at 8 am and arrived back at home at 6 pm. A graph representing her journey is shown.,What was the total distance that she rode during the day?,1,70,\( 35 + 35 = 70 \textrm{ km} \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,27,a,ii,AM2,,,,,gm201327a,Lucy went for a bike ride. She left home at 8 am and arrived back at home at 6 pm. A graph representing her journey is shown.,How much time did Lucy spend riding her bike during the day?,1,6.5,\( 2 + {1 \over 2} + 1 + 2 + 1 = 6{1 \over 2} \textrm{ hours} \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,27,b,i,FM3,,,,,gm201327b,The table shows the tax payable to the Australian Taxation Office for different taxable incomes.,"Peta has a gross annual salary of $84 000. She has tax deductions of $1000 for work-related travel and $500 for stationery. The Medicare levy that she pays is calculated at 1.5% of her taxable income.

Peta has already paid $18 500 in tax.

Will Peta receive a tax refund or will she owe money to the Australian Taxation Office? Justify your answer by calculating the refund or amount owed.",4,1209.50,\begin{eqnarray} \textrm{Taxable income} &=& 84000 - 1000 - 500 \\ &=& 82500 \\ \textrm{Tax payable} &=& 17547 + 0.37 (82500 - 80000) \\ &=& 18472 \\ \textrm{Medicare levy} &=& 0.015 \times 82500 \\ &=& 1237.50 \\ \textrm{Total tax} &=& 1237.50 + 18472 \\ &=& 19709.50 \\ \textrm{Tax owed} &=& 19709.50 - 18500 \\ &=& \$1209.50 \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,27,c,i,DA3,,,,,gm201327c,"A retailer has collected data on the number of televisions that he sold each week in 2012.

He grouped the data into classes and displayed the data using a cumulative frequency histogram and polygon (ogive).",Use the cumulative frequency polygon to determine the interquartile range.,2,280,\( Q_3 - Q_1 = 470 - 190 = 280 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,27,c,ii,DA3,,,,,gm201327c,"A retailer has collected data on the number of televisions that he sold each week in 2012.

He grouped the data into classes and displayed the data using a cumulative frequency histogram and polygon (ogive).","Oscar said that the retailer sold 300 televisions in 6 of the weeks in 2012.

Is he correct? Give a reason for your answer.",1,No,As this is grouped data the graph does not show individual weekly television sales.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,27,d,i,"M1
M5",,,,,,"A rectangular wooden chopping board is advertised as being 17 cm by 25 cm, with each side measured to the nearest centimetre.",Calculate the percentage error in the measurement of the longer side.,1,2,\( \frac{0.5}{25} \times 100 = 2\% \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MG2,2013,27,d,ii,"M1
M5",,,,,,"A rectangular wooden chopping board is advertised as being 17 cm by 25 cm, with each side measured to the nearest centimetre.",Between what lower and upper limits does the actual area of the top of the chopping board lie?,2,Between 404.25 and 446.25,"\( 16.5 \times 24.5 = 404.25 \textrm{ cm}^2 \)
\( 17.5 \times 24.5 = 446.25 \textrm{ cm}^2 \)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,27,e,i,M7,,,,,,"Karin is in Athens, which is two hours ahead of Greenwich Mean Time. Marco is in New York, which is five hours behind Greenwich Mean Time.","Karin is going to ring Marco at 10 pm on Tuesday, Athens time.

What day and time will it be in New York when she rings? Answer in 24hours followed by the day (eg 08:00 Thursday)",1,15:00 Tuesday,"\( \textrm{Time difference} = 2 + 5 = 7 \)
\( \textrm{7 hours before 10pm Tuesday is 3pm Tuesday} \)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,27,e,ii,M7,,,,,,"Karin is in Athens, which is two hours ahead of Greenwich Mean Time. Marco is in New York, which is five hours behind Greenwich Mean Time.","Marco is going to fly from New York to Athens. His flight will leave on Wednesday at 9 am, New York time, and will take 11 hours.

What day and time will it be in Athens when he arrives? Answer in 24hours followed by the day (eg 08:00 Thursday)",2,03:00 Thursday,"\( 9 + 11 = 8 \textrm{ pm New York Time} \)
\( 8 + 7 = 3 \textrm{ am Thursday} \)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,28,a,i,M6,,,,,gm201328a,A compass radial survey of the field \(ABCD\) has been conducted from \(O\).,"Find the area of the section \(ABO\), to the nearest square metre.",2,2127,\begin{eqnarray} A &=& {1 \over 2}ab \sin{C} \\ &=& {1 \over 2} \times 75 \times 60 \sin{71}^\circ \\ &=& 2127.416 795 \\ &=& 2127 \textrm{ m}^2 \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,28,b,i,"DA7
AM2",,,,,gm201328b,Ahmed collected data on the age (\(a\)) and height (\(h\)) of males aged 11 to 16 years. He created a scatterplot of the data and constructed a line of best fit to model the relationship between the age and height of males.,Determine the gradient of the line of best fit shown on the graph.,1,6,\( \textrm{Gradient} = {30 \over 5} = 6 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MG2,2013,28,b,ii,"DA7
AM2",,,,,gm201328b,Ahmed collected data on the age (\(a\)) and height (\(h\)) of males aged 11 to 16 years. He created a scatterplot of the data and constructed a line of best fit to model the relationship between the age and height of males.,Explain the meaning of the gradient in the context of the data.,1,"For each year of age, a typical 11-16-year-old grows 6 centimetres.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,28,b,iii,"DA7
AM2",,,,,gm201328b,Ahmed collected data on the age (\(a\)) and height (\(h\)) of males aged 11 to 16 years. He created a scatterplot of the data and constructed a line of best fit to model the relationship between the age and height of males.,Determine the equation of the line of best fit shown on the graph.,2,h = 6a + 80,"\( \textrm{Substitute } a = 15 \,, h = 170 \)
\begin{eqnarray} h &=& ma + b \\ 170 &=& 6 \times 15 + b \\ b &=& 80 \\ h &=& 6a + 80 \end{eqnarray}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,28,b,iv,"DA7
AM2",,,,,gm201328b,Ahmed collected data on the age (\(a\)) and height (\(h\)) of males aged 11 to 16 years. He created a scatterplot of the data and constructed a line of best fit to model the relationship between the age and height of males.,Use the line of best fit to predict the height of a typical 17-year-old male.,1,182,\begin{eqnarray} a &=& 17 \\ h &=& 6 \times 17 + 80 \\ &=& 182 \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MG2,2013,28,b,v,"DA7
AM2",,,,,gm201328b,Ahmed collected data on the age (\(a\)) and height (\(h\)) of males aged 11 to 16 years. He created a scatterplot of the data and constructed a line of best fit to model the relationship between the age and height of males.,Why would this model not be useful for predicting the height of a typical 45-year-old male?,1,"People do not continue to grow at the same rate over a lifetime.
OR
No man grows to a height of 350 cm.",\begin{eqnarray} a &=& 45 \\ h &=& 6 \times 45 + 80 \\ &=& 350 \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,28,c,i,M7,,,,,,"A ship sails due South from Channel-Port-aux-Basques, Canada, 47\(^\circ\)N 59\(^\circ\)W to Barbados, 13\(^\circ\)N 59\(^\circ\)W.

How far did the ship sail, to the nearest kilometre? Assume that the radius of Earth is 6400 km.",,2,3798,\begin{eqnarray} \theta &=& 47 - 13 = 34^\circ \\ \ell &=& \frac{\theta}{360} \times 2 \pi r \\ \ell &=& \frac{34}{360} \times 2 \times \pi \times 6400 \\ &=& 3797.836 452 \\ &=& 3798 \textrm{ km} \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,28,d,i,FM2,,,,,,Adhele has 2000 shares. The current share price is $1.50 per share. Adhele is paid a dividend of $0.30 per share. ,What is the current value of her shares?,1,3000,\( 2000 \times 1.50 = \$3000 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,28,d,ii,FM2,,,,,,Adhele has 2000 shares. The current share price is $1.50 per share. Adhele is paid a dividend of $0.30 per share. ,Calculate the dividend yield.,1,20,\( \frac{30}{150} \times 100 = 20\% \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MG2,2013,28,e,i,FM6,,,,,,"Zheng has purchased a computer for $5000 for his company. He wants to compare two different methods of depreciation over two years for the computer.

Method 1: Straight-line with $1250 depreciation per annum.

Method 2: Declining balance with 35% depreciation per annum.

Which method gives the greatest depreciation over the two years? Justify your answer with suitable calculations.",,3,The declining balance method gives the greatest depreciation.,"Method 1: \( \textrm{Depreciation} = 2 \times 1250 = \$2500 \)
Method 2: \( \textrm{Depreciation} = 5000 - 5000(1 - 0.35)^2 = \$2887.50 \)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,29,a,i,"AM1
AM3",,,,,,"Sarah tried to solve this equation and made a mistake in Line 2.

\begin{eqnarray} \frac{W + 4}{3} - \frac{2W - 1}{5} &=& 1 \textrm{   ......... Line 1} \\ 5W + 20 - 6W - 3 &=& 15 \textrm{  ......... Line 2} \\ 17 - W &=& 15 \textrm{  ......... Line 3} \\ W &=& 2 \textrm{   ......... Line 4} \end{eqnarray}

Copy the equation in Line 1 into your writing booklet and continue your solution to solve this equation for \(W\). Show all lines of working.",,2,8,\begin{eqnarray} \frac{W + 4}{3} - \frac{2W - 1}{5} &=& 1 \\ 5W + 20 - 6W + 3 &=& 15 \\ 23 - W &=& 15 \\ W &=& 8 \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,29,b,i,"DA4
DA6",,,,,,"Ali's class sits two Geography tests. The results of her class on the first Geography test are shown. $$ \textrm{58, 74, 65, 66, 73, 71, 72, 74, 62, 70} $$The mean was 68.5 for the first test.",Calculate the standard deviation for the first test. Give your answer correct to one decimal place.,1,5.2,\( \textrm{Standard deviation} = 5.220 153 25 = 5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,29,b,ii,"DA4
DA6",,,,,,"Ali's class sits two Geography tests. The results of her class on the first Geography test are shown. $$ \textrm{58, 74, 65, 66, 73, 71, 72, 74, 62, 70} $$The mean was 68.5 for the first test.","On the second Geography test, the mean for the class was 74.4 and the standard deviation was 12.4.

Ali scored 62 on the first test. Calculate the mark that she needed to obtain in the second test to ensure that her performance relative to the class was maintained.",3,59,\begin{eqnarray} z &=& \frac{x - \overline{x}}{s} \\ z_{first} &=& \frac{62 - 68.5}{5.2} \\ &=& -1.25 \\ -1.25  &=& \frac{x - 74.4}{12.4} \\ -1.25 \times 12.4 &=& x - 74.4 \\ -15.5 &=& x - 74.4 \\ x &=& 58.9 \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,29,c,i,PB3,,,,,,"Mary is designing a website that requires unique logins to be generated.

She plans to generate the logins using two capital letters from the alphabet followed by a series of numerals from 0 to 9 inclusive. All logins will have the same number of numerals. Repetition of letters and numerals is allowed.

What is the minimum number of numerals required for each login so that Mary can generate at least 3 million logins? Justify your answer with suitable calculations.",,2,4,\begin{eqnarray} \textrm{Two letters (repetition allowed)} &=& 26 \times 26 = 676 \\ \textrm{with 1 numeral} &=& 676 \times 10 = 6760 \\ \textrm{with 2 numeral} &=& 676 \times 10 \times 10 = 67600 \\ \textrm{with 3 numeral} &=& 676 \times 10 \times 10 \times 10 = 676000 \\ \textrm{with 4 numeral} &=& 676 \times 10 \times 10 \times 10 \times 10 = 6760000 \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,29,d,i,PB4,,,,,,Jane plays a game which involves two coins being tossed. The amounts to be won for the different possible outcomes are shown in the table.,"It costs $4 to play one game. Will Jane expect a gain or a loss, and how much will it be? Justify your answer with suitable calculations.",3,1.5,\begin{eqnarray} \frac{1}{4} \times 6 + \frac{1}{2} \times 1 + \frac{1}{4} \times 2 &=& 2.5 \\ 2.5 - 4 &=& -1.5 \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,29,e,i,FM5,,,,,gm201329d,"Jack borrowed $300 000 to buy a house. Interest is charged at the rate of 6% per annum, compounded monthly. His minimum monthly repayment is $1798.65.

Jack decided to pay an extra $250 each month from the start of the loan period.

Will he be able to pay off the loan in 20 years? Justify your answer with suitable calculations.",,4,No,"this is less than $300 000, therefore he will not be able to pay off the loan in 20 years. He would have only been able to pay off a loan of $285 952.15 in full in 20 years.
\( N = 2048.65(\frac{(1.005)^{240} - 1}{0.005(1.005)^{240}}) = \$285 952.15 \)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,30,a,i,AM4,,,,,gm201330a,"Wind turbines, such as those shown, are used to generate power.

In theory, the power that could be generated by a wind turbine is modelled using
the equation \[ T = 20000w^3 \\ \textrm{where} &:& \textrm{T is the theorectical power generated, in watts} \\ &:& \textrm{w is the speed of the wind, in metres per second.} \]","Using this equation, what is the theoretical power generated by a wind turbine if the wind speed is 7.3 m/s?",1,7780340,\( 20000 \times (7.3)^3 = 7 780 340 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,30,a,ii,AM4,,,,,gm201330a,"Wind turbines, such as those shown, are used to generate power.

In theory, the power that could be generated by a wind turbine is modelled using
the equation \[ T = 20000w^3 \\ \textrm{where} &:& \textrm{T is the theorectical power generated, in watts} \\ &:& \textrm{w is the speed of the wind, in metres per second.} \]","In practice, the actual power generated by a wind turbine is only 40% of the theoretical power.

If \(A\) is the actual power generated, in watts, write an equation for \(A\) in terms of \(w\).",1,A = 8000w^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,30,a,iii,AM4,,,,,gm201330a,"Wind turbines, such as those shown, are used to generate power.

In theory, the power that could be generated by a wind turbine is modelled using
the equation \[ T = 20000w^3 \\ \textrm{where} &:& \textrm{T is the theorectical power generated, in watts} \\ &:& \textrm{w is the speed of the wind, in metres per second.} \]","The graph shows both the theoretical power generated and the actual power generated by a particular wind turbine.

Using the graph, or otherwise, find the difference between the theoretical power and the actual power generated when the wind speed is 9 m/s.",1,8800000,\( 14600000 - 5800000 \\ = 8800000 \),gm201330aiii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,30,a,iv,AM4,,,,,gm201330a,"Wind turbines, such as those shown, are used to generate power.

In theory, the power that could be generated by a wind turbine is modelled using
the equation \[ T = 20000w^3 \\ \textrm{where} &:& \textrm{T is the theorectical power generated, in watts} \\ &:& \textrm{w is the speed of the wind, in metres per second.} \]","A particular farm requires at least 4.4 million watts of actual power in order to be self-sufficient.

What is the minimum wind speed required for the farm to be self-sufficient?",1,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,30,a,v,AM4,,,,,gm201330a,"Wind turbines, such as those shown, are used to generate power.

In theory, the power that could be generated by a wind turbine is modelled using
the equation \[ T = 20000w^3 \\ \textrm{where} &:& \textrm{T is the theorectical power generated, in watts} \\ &:& \textrm{w is the speed of the wind, in metres per second.} \]","A more accurate formula to calculate the power (\(P\)) generated by a wind turbine is \[ P = 0.61 \times \pi \times r^2 \times w^3 \\ \textrm{where $r$ is the length of each blade, in metres and $w$ is the speed of the wind, in metres per second} \] Each blade of a particular wind turbine has a length of 43 metres. The turbine operates at a wind speed of 8 m/s.

Using the formula above, if the wind speed increased by 10%, what would be the percentage increase in the power generated by this wind turbine?",3,33.1,"\( \textrm{For wind speed of 8 m/s} \)
\( P = 0.61 \times \pi \times 43^2 \times 8^3 = 1 814 205.92 \)

\( \textrm{New wind speed of 8.8 m/s} \)
\( P = 0.61 \times \pi \times 43^2 \times 8^8 = 2 414 708.08 \)

\( \textrm{Increase} \\ = 2 414 708.08 - 1 814 205.92 \\ = 600 502.16 \)

\( \textrm{% increase} \\ = \frac{600 502}{1 814 205.92} \times 100\% \\ = 33.1\% \)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2013,30,b,i,PB3,,,,,,In a class there are 15 girls (\(G\)) and 7 boys (\(B\)). Two students are chosen at random to be class representatives.,Copy and complete the tree diagram in your answer booklet.,2,,,gm201330bi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
